rule,category,lectures_affected,total_occurrences,proposed
qe-fig-005,figures,273,1115,0
qe-writing-008,writing,237,7122,0
qe-fig-001,figures,224,892,0
qe-fig-008,figures,196,1194,0
qe-writing-001,writing,175,448,0
qe-fig-003,figures,165,630,0
qe-writing-006,writing,132,768,0
qe-math-010,math,124,1608,1
qe-ref-001,references,106,291,0
qe-writing-004,writing,105,339,0
qe-link-002,links,73,205,0
qe-code-002,code,66,798,0
qe-math-002,math,63,1597,0
qe-fig-006,figures,60,298,0
qe-fig-004,figures,60,189,0
qe-math-003,math,46,363,0
qe-fig-002,figures,38,104,0
qe-math-011,math,34,134,1
qe-math-004,math,33,584,0
qe-code-004,code,31,144,0
qe-writing-009,writing,30,61,1
qe-code-003,code,25,32,0
qe-math-001,math,15,28,0
qe-fig-007,figures,13,71,0
qe-link-001,links,12,21,0
qe-math-005,math,7,14,0
qe-code-005,code,7,13,0
qe-math-013,math,6,6,1
qe-math-006,math,5,14,0
qe-math-012,math,4,6,1
qe-fig-010,figures,4,4,0
qe-math-008,math,3,3,0
qe-math-007,math,2,2,0
qe-admon-003,admonitions,1,2,0
qe-admon-002,admonitions,1,1,0
