period,corpus_size,rule,lectures_affected,total_occurrences,share_pct
2026-05,300,qe-fig-005,237,1088,79.0
2026-05,300,qe-writing-008,233,7391,77.7
2026-05,300,qe-fig-008,187,1194,62.3
2026-05,300,qe-fig-001,185,740,61.7
2026-05,300,qe-writing-001,165,417,55.0
2026-05,300,qe-writing-006,140,872,46.7
2026-05,300,qe-fig-003,138,542,46.0
2026-05,300,qe-math-010,107,1507,35.7
2026-05,300,qe-ref-001,97,229,32.3
2026-05,300,qe-writing-004,94,296,31.3
2026-05,300,qe-link-002,73,209,24.3
2026-05,300,qe-fig-006,59,315,19.7
2026-05,300,qe-math-002,59,1633,19.7
2026-05,300,qe-code-002,54,558,18.0
2026-05,300,qe-math-003,41,334,13.7
2026-05,300,qe-fig-002,38,106,12.7
2026-05,300,qe-math-011,36,146,12.0
2026-05,300,qe-math-004,34,587,11.3
2026-05,300,qe-writing-009,33,67,11.0
2026-05,300,qe-code-004,28,128,9.3
2026-05,300,qe-fig-004,27,97,9.0
2026-05,300,qe-code-003,26,33,8.7
2026-05,300,qe-link-001,15,24,5.0
2026-05,300,qe-fig-007,13,71,4.3
2026-05,300,qe-math-001,13,24,4.3
2026-05,300,qe-math-013,7,7,2.3
2026-05,300,qe-math-005,6,11,2.0
2026-05,300,qe-code-005,6,12,2.0
2026-05,300,qe-math-012,5,7,1.7
2026-05,300,qe-math-006,5,14,1.7
2026-05,300,qe-fig-010,4,4,1.3
2026-05,300,qe-math-008,3,3,1.0
2026-05,300,qe-math-007,2,2,0.7
2026-05,300,qe-admon-002,1,1,0.3
2026-05,300,qe-admon-003,1,2,0.3
2026-08,348,qe-fig-005,273,1115,78.4
2026-08,348,qe-writing-008,237,7122,68.1
2026-08,348,qe-fig-001,224,892,64.4
2026-08,348,qe-fig-008,196,1194,56.3
2026-08,348,qe-writing-001,175,448,50.3
2026-08,348,qe-fig-003,165,630,47.4
2026-08,348,qe-writing-006,132,768,37.9
2026-08,348,qe-math-010,124,1608,35.6
2026-08,348,qe-ref-001,106,291,30.5
2026-08,348,qe-writing-004,105,339,30.2
2026-08,348,qe-link-002,73,205,21.0
2026-08,348,qe-code-002,66,798,19.0
2026-08,348,qe-math-002,63,1597,18.1
2026-08,348,qe-fig-006,60,298,17.2
2026-08,348,qe-fig-004,60,189,17.2
2026-08,348,qe-math-003,46,363,13.2
2026-08,348,qe-fig-002,38,104,10.9
2026-08,348,qe-math-011,34,134,9.8
2026-08,348,qe-math-004,33,584,9.5
2026-08,348,qe-code-004,31,144,8.9
2026-08,348,qe-writing-009,30,61,8.6
2026-08,348,qe-code-003,25,32,7.2
2026-08,348,qe-math-001,15,28,4.3
2026-08,348,qe-fig-007,13,71,3.7
2026-08,348,qe-link-001,12,21,3.4
2026-08,348,qe-math-005,7,14,2.0
2026-08,348,qe-code-005,7,13,2.0
2026-08,348,qe-math-013,6,6,1.7
2026-08,348,qe-math-006,5,14,1.4
2026-08,348,qe-math-012,4,6,1.1
2026-08,348,qe-fig-010,4,4,1.1
2026-08,348,qe-math-008,3,3,0.9
2026-08,348,qe-math-007,2,2,0.6
2026-08,348,qe-admon-002,1,1,0.3
2026-08,348,qe-admon-003,1,2,0.3
