series,lecture,writing,math,code,jax,figures,references,links,admonitions,overall,priority
lecture-dp,amss,7.0,4.0,9.5,out-of-scope,6.0,10.0,10.0,10.0,8.1,HIGH
lecture-dp,amss2,8.5,5.5,10.0,out-of-scope,6.0,8.5,10.0,N/A,8.1,LOW
lecture-dp,amss3,8.5,5.5,10.0,out-of-scope,5.5,7.5,10.0,10.0,8.1,LOW
lecture-dp,calvo,6.0,5.5,10.0,out-of-scope,7.0,8.5,8.0,10.0,7.9,LOW
lecture-dp,calvo_abreu,8.0,9.0,9.0,out-of-scope,9.0,8.5,10.0,N/A,8.9,NONE
lecture-dp,calvo_machine_learn,8.0,3.5,7.5,out-of-scope,8.0,10.0,10.0,10.0,8.1,HIGH
lecture-dp,career,8.0,10.0,10.0,out-of-scope,6.5,10.0,10.0,10.0,9.2,NONE
lecture-dp,chang_credible,5.0,10.0,10.0,out-of-scope,9.5,10.0,10.0,N/A,9.1,NONE
lecture-dp,chang_ramsey,6.0,10.0,10.0,out-of-scope,6.0,8.5,10.0,N/A,8.4,LOW
lecture-dp,cons_news,5.5,4.5,10.0,out-of-scope,6.0,10.0,7.5,N/A,7.2,LOW
lecture-dp,cross_product_trick,6.0,3.0,N/A,out-of-scope,N/A,N/A,10.0,N/A,6.3,HIGH
lecture-dp,discrete_dp,8.5,7.0,8.0,out-of-scope,6.0,9.0,7.0,10.0,7.9,LOW
lecture-dp,dyn_stack,8.0,5.0,10.0,out-of-scope,5.0,10.0,7.5,10.0,7.9,LOW
lecture-dp,ifp_advanced,4.5,3.5,7.5,out-of-scope,7.0,8.5,10.0,10.0,7.3,HIGH
lecture-dp,ifp_discrete,7.5,7.5,9.0,out-of-scope,8.5,10.0,10.0,10.0,8.9,NONE
lecture-dp,ifp_egm,5.0,10.0,9.0,out-of-scope,6.5,10.0,10.0,10.0,8.6,NONE
lecture-dp,ifp_egm_transient_shocks,6.0,10.0,9.0,out-of-scope,5.5,9.0,10.0,10.0,8.5,LOW
lecture-dp,ifp_opi,6.5,10.0,8.5,out-of-scope,6.0,N/A,9.0,10.0,8.3,LOW
lecture-dp,intro,10.0,N/A,N/A,out-of-scope,N/A,N/A,10.0,N/A,10.0,NONE
lecture-dp,inventory_q,5.5,6.0,10.0,out-of-scope,6.0,10.0,10.0,N/A,7.9,LOW
lecture-dp,jv,6.0,10.0,10.0,out-of-scope,6.5,9.0,10.0,10.0,8.8,NONE
lecture-dp,lagrangian_lqdp,3.5,3.0,9.5,out-of-scope,N/A,10.0,7.5,10.0,7.2,HIGH
lecture-dp,lq_inventories,5.5,3.0,10.0,out-of-scope,7.0,10.0,10.0,10.0,7.9,HIGH
lecture-dp,lqcontrol,4.0,3.0,10.0,out-of-scope,4.5,10.0,8.0,10.0,7.1,HIGH
lecture-dp,lqramsey,9.0,3.0,10.0,out-of-scope,8.0,10.0,10.0,10.0,8.6,HIGH
lecture-dp,markov_jump_lq,8.5,3.0,10.0,out-of-scope,5.5,8.5,9.0,N/A,7.4,HIGH
lecture-dp,mccall_fitted_vfi,9.0,8.0,10.0,out-of-scope,5.5,9.0,10.0,10.0,8.8,NONE
lecture-dp,mccall_model,4.0,7.5,8.5,out-of-scope,6.0,10.0,8.0,10.0,7.7,HIGH
lecture-dp,mccall_model_with_sep_markov,8.0,10.0,10.0,out-of-scope,5.5,N/A,10.0,10.0,8.9,NONE
lecture-dp,mccall_model_with_separation,9.5,8.5,8.5,out-of-scope,8.5,10.0,10.0,10.0,9.3,NONE
lecture-dp,mccall_persist_trans,10.0,6.5,8.5,out-of-scope,8.0,10.0,10.0,10.0,9.0,NONE
lecture-dp,mccall_q,4.0,10.0,10.0,out-of-scope,7.0,9.0,10.0,N/A,8.3,HIGH
lecture-dp,odu,5.0,10.0,10.0,out-of-scope,5.0,9.0,8.0,10.0,8.1,LOW
lecture-dp,opt_tax_recur,7.0,6.0,10.0,out-of-scope,4.5,9.0,10.0,10.0,8.1,LOW
lecture-dp,os,7.0,10.0,10.0,out-of-scope,8.0,10.0,10.0,10.0,9.3,NONE
lecture-dp,os_egm,7.0,10.0,7.5,out-of-scope,9.0,10.0,10.0,10.0,9.1,NONE
lecture-dp,os_egm_jax,10.0,10.0,7.0,out-of-scope,7.0,N/A,10.0,10.0,9.0,NONE
lecture-dp,os_numerical,6.0,10.0,10.0,out-of-scope,5.5,N/A,10.0,10.0,8.6,NONE
lecture-dp,os_stochastic,4.5,7.5,9.5,out-of-scope,7.5,10.0,8.0,10.0,8.1,LOW
lecture-dp,os_time_iter,7.5,8.0,9.5,out-of-scope,8.0,9.0,10.0,10.0,8.9,NONE
