period,series,basis,commit,committed,lectures,checker
2026-05,lecture-dp,recovered,6a7bc1c467d7472e008607a3e12bb177dd2fb0c5,2026-05-28T17:28:17+10:00,52,aef064f3b260
2026-05,lecture-python-advanced.myst,recovered,6320d7142b5b807ec33fd2063d509ce8dbb9a302,2026-05-28T15:28:02+10:00,62,aef064f3b260
2026-05,lecture-python-intro,recovered,576cd1776110adad5160e304b6f202d694b58a97,2026-05-29T14:07:01+10:00,50,aef064f3b260
2026-05,lecture-python-programming,recovered,a2b929f15e703b6942e8b80a29011c51f234b1e0,2026-05-13T18:45:09+08:00,26,aef064f3b260
2026-05,lecture-python.myst,recovered,2944402a4c4a3101e92e2824e10b0dc212265264,2026-05-29T14:27:37+10:00,110,aef064f3b260
2026-08,lecture-dp,pinned,c30490a2f48867d155d92c3c94a6cd6bfbda82a5,2026-08-07T10:29:52+10:00,52,aef064f3b260
2026-08,lecture-python-advanced.myst,pinned,b83d6da3998b4206f3d95869f7f552ed6e6f189c,2026-08-19T14:03:43+10:00,68,aef064f3b260
2026-08,lecture-python-intro,pinned,a12d17c0ef81c6e469a47f01c431a708b8ccc065,2026-08-23T12:44:03+10:00,56,aef064f3b260
2026-08,lecture-python-programming,pinned,ceec881028688d7b41a64ce5ed73c7f576fa46a8,2026-08-21T08:57:49+10:00,27,aef064f3b260
2026-08,lecture-python.myst,pinned,e25fdf2345c1b2b125c0aafcdcb689fc7c3876ab,2026-08-24T13:08:27+10:00,145,aef064f3b260
